,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
56,56,3py7jF8h0hJ0QiYoyqUBz5,Drunk On You,Jus2,JYP,2019-03-05,0.813,0.643,10,-6.522,0,0.132,3.96e-06,0.123,0.361,115.03,226070,4
57,57,5nOofjl5oaTWGeivGfNzDs,Touch,Jus2,JYP,2019-03-05,0.626,0.461,6,-6.444,1,0.405,0.0,0.106,0.46,129.954,199991,4
58,58,3C7hRslMCduBjjDyfEYors,Senses,Jus2,JYP,2019-03-05,0.782,0.531,10,-9.222,0,0.221,0.000654,0.622,0.4,120.015,195053,4
59,59,5ukZlGN2l9WFC0kguXNMwv,Love Talk,Jus2,JYP,2019-03-05,0.784,0.746,2,-7.097,1,0.0457,4.67e-05,0.156,0.748,124.047,233049,4
60,60,3AwqFq8Vxr5uF7oJftjld9,Long Black,Jus2,JYP,2019-03-05,0.578,0.766,8,-6.378,0,0.0105,0.0,0.141,0.435,109.847,182605,4
61,61,6y6ahMwoZniXQNurGMT296,1°,GOT7,JYP,2019-05-20,0.771,0.621,0,-5.813,0,0.0924,0.0,0.355,0.592,94.962,194595,4
62,62,3FoiMgXMrO3D5FeJuotKyZ,Eclipse,GOT7,JYP,2019-05-20,0.596,0.893,1,-3.43,0,0.0417,0.0,0.315,0.526,79.889,209519,4
63,63,00i5R78QV23krGPEVZyZVH,끝,GOT7,JYP,2019-05-20,0.706,0.835,7,-4.616,0,0.0381,0.0,0.123,0.656,98.029,243324,4
64,64,4YQKoTs6QESahc7N4OI82A,Time Out,GOT7,JYP,2019-05-20,0.734,0.848,1,-2.166,1,0.566,0.0,0.0726,0.798,160.023,181323,4
65,65,3t9aeFQEtd2dhuTeNCtZ6Z,믿어줄래,GOT7,JYP,2019-05-20,0.649,0.502,11,-6.091,1,0.0441,0.0,0.107,0.203,136.898,185639,4
66,66,3BTaItolEPypIOZd8pxKoM,Page,GOT7,JYP,2019-05-20,0.756,0.836,1,-3.827,0,0.0176,2.85e-05,0.325,0.764,122.025,224393,4
67,67,63XFgN7jJH5RZW0zHy3i7h,LOVE LOOP,GOT7,JYP,2019-07-31,0.577,0.695,8,-4.008,1,0.141,0.0,0.264,0.229,128.024,222453,4
68,68,78TX9OaJQrhDDmRdEXAuyD,YOUR SPACE,GOT7,JYP,2019-07-31,0.703,0.727,8,-5.106,1,0.0177,0.0,0.107,0.322,150.035,198133,4
69,69,3UFrb2qBvZcvqWHdHYTf1h,備忘録,GOT7,JYP,2019-07-31,0.847,0.678,4,-4.566,0,0.0955,0.0,0.082,0.583,110.024,188387,4
70,70,6y0QfCYgK1dDzJotwMVY4y,KARMA,GOT7,JYP,2019-07-31,0.599,0.664,10,-7.103,1,0.25,3.17e-05,0.0764,0.55,179.89,214573,4
71,71,5qH7P3weadAns1MeUmLpIH,DRUNK,GOT7,JYP,2019-07-31,0.708,0.766,2,-5.577,0,0.0998,0.0,0.0449,0.685,109.984,201760,4
72,72,5eLHvee7rYoMHpvClrOG9l,#SUMMERVIBES,GOT7,JYP,2019-07-31,0.806,0.651,1,-4.346,0,0.119,0.0,0.142,0.496,120.011,221613,4
73,73,4mGNltBSdlU4FScrQdv50S,REMEMBER ME,GOT7,JYP,2019-07-31,0.701,0.615,7,-5.717,1,0.00985,6.64e-05,0.0988,0.339,92.987,258000,4
74,74,7M0p6IED6ZA3aqmO9NJY6u,SUPERMAN,GOT7,JYP,2019-07-31,0.614,0.45,10,-5.455,1,0.0504,0.0,0.113,0.145,93.001,233640,4
75,75,79AWbrsBUPgloUr1P7B4Uk,Sing for U,GOT7,JYP,2019-10-21,0.635,0.662,11,-4.727,1,0.114,0.0,0.0963,0.355,116.957,194516,4
76,76,6f4wghlwYWGLqGEIKc6HDQ,You Calling My Name,GOT7,JYP,2019-11-04,0.813,0.667,0,-4.061,0,0.0917,0.0,0.0802,0.514,111.02,194708,4
77,77,1yWd5r0QK4XslQ4tX3TcR6,PRAY,GOT7,JYP,2019-11-04,0.694,0.765,0,-3.782,1,0.0507,0.0,0.185,0.654,119.983,227370,4
78,78,6oygMvl93dCA3xOJqT50m5,Now or Never,GOT7,JYP,2019-11-04,0.791,0.714,8,-4.338,0,0.429,4.57e-06,0.0947,0.716,102.012,185453,4
79,79,3v5BOhyPrVQN7PYE6JnY7j,THURSDAY,GOT7,JYP,2019-11-04,0.678,0.787,1,-4.741,0,0.147,0.0,0.0799,0.471,158.014,206578,4
80,80,1XXyHhgmhMYqn55Gej4NXs,RUN AWAY,GOT7,JYP,2019-11-04,0.751,0.813,8,-3.957,1,0.0325,0.0,0.164,0.844,114.993,244276,4
81,81,2QOI51497Fk1yh8ctvTZQ2,Crash & Burn,GOT7,JYP,2019-11-04,0.657,0.881,2,-3.634,0,0.0153,0.0,0.0307,0.393,141.884,204782,4
82,82,7MthitzhOiulghCWPy3AhK,AURA,GOT7,JYP,2020-04-20,0.689,0.768,9,-4.757,0,0.143,1.06e-06,0.111,0.708,89.885,186068,4
83,83,3abduCH8DYXjfwlkjLYH65,CRAZY,GOT7,JYP,2020-04-20,0.696,0.842,10,-4.594,0,0.00501,1.37e-06,0.156,0.334,109.98,231352,4
84,84,1pmfd0ohjfh1qXPWvjaC1o,NOT BY THE MOON,GOT7,JYP,2020-04-20,0.549,0.813,5,-4.828,0,0.0556,4.44e-06,0.207,0.544,151.813,204702,4
85,85,15VM72GLYwNAfOvuTWVQkw,LOVE YOU BETTER,GOT7,JYP,2020-04-20,0.553,0.729,5,-5.207,0,0.429,0.0,0.0573,0.671,89.065,201528,4
86,86,2A6ipjxIZnIBWj09CPftUG,TRUST MY LOVE,GOT7,JYP,2020-04-20,0.73,0.861,4,-4.566,0,0.0987,0.0,0.36,0.454,96.021,192960,4
87,87,5t9w5O8sLvbB7hwfyzNXi5,POISON,GOT7,JYP,2020-04-20,0.827,0.744,9,-4.523,0,0.0205,5.32e-06,0.0974,0.254,99.997,175602,4
88,88,0pDh5dMblZFw7bXRsbekZ1,Breath,GOT7,JYP,2020-11-30,0.724,0.846,9,-3.785,0,0.109,0.0,0.0958,0.64,129.959,187251,4
89,89,6xrjIHbm6ga5J8HhOS2Rmn,LAST PIECE,GOT7,JYP,2020-11-30,0.715,0.866,3,-5.505,0,0.0324,0.0,0.109,0.688,98.034,222120,4
90,90,04YPwOU37XTnzrPTltJz1B,Born Ready,GOT7,JYP,2020-11-30,0.839,0.564,1,-7.282,1,0.128,0.0,0.241,0.515,124.04,159720,4
91,91,64vGGXR2JO75ngSyAsvb8d,SPECIAL,GOT7,JYP,2020-11-30,0.761,0.724,8,-4.569,0,0.103,0.0,0.0378,0.883,90.014,206929,4
92,92,6oEgj9nOyX7mqEbgP6bKBH,WAVE,GOT7,JYP,2020-11-30,0.547,0.616,2,-5.537,1,0.0671,0.0,0.357,0.418,154.802,194465,4
93,93,0nC5ebLXfpgOKOw05joNkq,Waiting For You,GOT7,JYP,2020-11-30,0.625,0.622,9,-6.279,1,0.208,8.2e-05,0.17,0.279,146.048,174070,4
94,94,72CFnNVdYSWvH70PkovdM2,"Thank You, Sorry",GOT7,JYP,2020-11-30,0.649,0.528,7,-7.262,1,0.257,0.0,0.0987,0.496,80.016,223838,4
95,95,1hcdSZ6FasEAByx6BrjGXY,1+1,GOT7,JYP,2020-11-30,0.717,0.863,3,-6.263,1,0.141,3.94e-06,0.218,0.82,144.016,194961,4
96,96,2Efpgql2LGwTC3TGEed2ol,I Mean It,GOT7,JYP,2020-11-30,0.855,0.809,8,-4.973,1,0.00807,0.000747,0.293,0.667,123.999,180803,4
97,97,7JkWbwxCqmm913MgcxIozF,We Are Young,GOT7,JYP,2020-11-30,0.786,0.639,5,-5.313,1,0.254,0.0,0.116,0.724,140.011,210131,4
